HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
0;89,875;80,325;62,304;0,638;255;0,794;0,11;35,7;131,962;4,225
0;86,374;77,138;59,667;0,638;255;0,898;0,472;35,7;124,312;4,269
1;98,501;84,788;67,808;0,638;255;0,662;-0,526;40,162;143,438;4,424
0;88,868;79,05;61,22;0,638;255;0,92;0,471;37,612;126,225;4,27
0;94,276;88,612;60,17;0,638;255;0,849;0,426;45,262;128,137;4,312
0;91,127;88,612;58,607;0,638;255;0,733;0,236;39,525;128,137;4,302
0;81,604;59,925;62,859;0,638;255;1,091;0,679;32,513;121,125;4,199
0;90,334;73,95;66,56;0,638;255;0,942;0,24;38,25;129,412;4,283
0;88,553;76,5;62,278;0,638;255;0,965;0,534;37,612;126,225;4,226
0;87,06;70,762;63,89;0,638;255;1,037;0,581;35,062;124,95;4,188
0;86,284;64,388;64,639;0,638;255;1,108;0,672;35,062;124,95;4,123
0;92,083;83,512;62,066;0,638;255;0,962;0,555;40,162;127,5;4,197
0;83,031;58,65;64,145;0,638;255;1,172;0,846;33,15;121,762;4,104
0;89,233;76,5;63,608;0,638;255;0,947;0,407;36,338;127,5;4,228
0;90,642;79,688;62,841;0,638;255;0,935;0,443;38,887;127,5;4,249
0;92,067;84,15;62,6;0,638;255;0,905;0,43;40,162;128,137;4,251
0;89,203;79,688;61,464;0,638;255;0,988;0,656;38,887;124,312;4,228
0;84,139;63,75;63,886;0,638;255;1,051;0,55;33,788;123,675;4,217
0;91,63;75,225;66,835;0,638;255;0,941;0,249;38,887;130,05;4,258
0;86,365;77,138;61,912;0,638;255;1,039;0,789;35,7;120,488;4,205
0;90,658;75,862;65,925;0,638;255;0,939;0,276;39,525;128,137;4,293
0;81,552;60,562;62,872;0,638;255;1,108;0,719;32,513;120,488;4,21
0;85,887;70,762;62,59;0,638;255;1,076;0,755;35,7;122,4;4,19
0;85,966;72,038;61,54;0,638;255;1,021;0,676;35,7;123,675;4,207
1;105,367;94,35;64,935;0,638;255;0,729;-0,213;52,912;142,8;4,38
0;104,838;110,288;61,686;0,638;255;0,591;0,063;49,088;137,7;4,229
0;100,805;103,275;63,222;0,638;255;0,64;0,08;44,625;133,875;4,28
0;111,282;114,112;62,064;0,638;255;0,516;-0,008;60,562;142,8;4,279
0;111,326;116,025;62,202;0,638;255;0,472;-0,07;58,65;142,8;4,277
0;122,212;119,85;67,148;0,638;255;0,376;-0,459;71,4;159,375;4,293
0;114,397;117,3;61,859;0,638;255;0,51;-0,014;65,025;144,075;4,252
0;109,702;112,2;58,978;0,638;255;0,664;0,407;63,75;137,062;4,203
0;102,002;105,188;64,13;0,638;255;0,61;-0,086;43,988;137,7;4,287
0;108,629;113,475;62,401;0,638;255;0,535;0,018;54,825;139,612;4,249
1;126,984;129,412;64,13;0,638;255;0,204;-0,598;74,587;166,388;4,363
0;90,668;85,425;60,514;0,638;255;0,802;0,295;38,887;128,775;4,271
0;85,255;73,312;59,703;0,638;255;0,829;0,267;34,425;126,862;4,251
0;87,502;79,05;60,483;0,638;255;0,825;0,297;35,7;127,5;4,266
0;107,512;110,288;59,181;0,638;255;0,581;0,14;58,012;138,975;4,288
0;99,5;102;59,802;0,638;255;0,631;0,154;46,538;134,512;4,285
0;120,601;110,288;74,556;0,638;255;0,366;-0,928;59,288;174,038;4,402
0;77,653;54,825;57,02;0,638;255;1,27;1,412;34,425;116,663;4,081
0;85,241;76,5;59,033;0,638;255;0,836;0,379;35,7;124,312;4,286
0;84,818;71,4;60,407;0,638;255;0,872;0,295;35,062;124,95;4,295
